,PROVINSI,KODEPOS
Banda Aceh,Aceh,23521
Medan,Sumatera Utara,20222
Padang,Sumatera Barat,25211
Pekanbaru,Riau,28125
Kota Jambi,Jambi,36135
Palembang,Sumatera Selatan,30137
Kota Bengkulu,Bengkulu,38222
Bandar Lampung,Lampung,35212
Pangkal Pinang,Kepulauan Bangka Belitung,33684
Tanjung Pinang,Kepulauan Riau,29125
Yogyakarta,Daerah Istimewa Yogyakarta,55221
Surabaya,Jawa Timur,60271
Denpasar,Bali,80223
Lombok,Nusa Tenggara Barat,83239
Kupang,Nusa Tenggara Timur,85226
Pontianak,Kalimantan Barat,78121
Palangkaraya,Kalimantan Tengah,73111
Banjarmasin,Kalimantan Selatan,70231
Samarinda,Kalimantan Timur,75121
Tanjung Selor,Kalimantan Utara,77216
Manado,Sulawesi Utara,95234
Palu,Sulawesi Tengah,94111
Makassar,Sulawesi Selatan,90231
Kendari,Sulawesi Tenggara,93116
Kota Gorontalo,Gorontalo,96162
Mamuju,Sulawesi Barat,91512
Ambon,Maluku,97232
Sofifi,Maluku Utara,97236
Jayapura,Papua,99112
Manokwari,Papua Barat,98315
Tasikmalaya,Jawa Barat,46111
Cimahi,Jawa Barat,40521
Subang,Jawa Barat,41250
Sukabumi,Jawa Barat,43356
Purwakarta,Jawa Barat,41162
Cianjur,Jawa Barat,43211
Kuningan,Jawa Barat,45514
Ciamis,Jawa Barat,46254
Garut,Jawa Barat,22616
Sumedang,Jawa Barat,45371
Banjar,Jawa Barat,46312
Majalengka,Jawa Barat,45457
Indramayu,Jawa Barat,45262
Solo,Jawa Tengah,57116
Klaten,Jawa Tengah,57411
Kudus,Jawa Tengah,59311
Boyolali,Jawa Tengah,57311
Pati,Jawa Tengah,59111
Pekalongan,Jawa Tengah,51111
Karanganyar,Jawa Tengah,57762
Pemalang,Jawa Tengah,52371
Salatiga,Jawa Tengah,50715
Magelang,Jawa Tengah,56415
Tegal,Jawa Tengah,52471
Banjarnegara,Jawa Tengah,53438
Demak,Jawa Tengah,59554
Sukoharjo,Jawa Tengah,57562
Sragen,Jawa Tengah,57276
Batang,Jawa Tengah,51273
Brebes,Jawa Tengah,52273
Grobogan,Jawa Tengah,58162
Wonogiri,Jawa Tengah,57695
Temanggung,Jawa Tengah,56271
Kebumen,Jawa Tengah,54317
Wonosobo,Jawa Tengah,53361
Kendal,Jawa Tengah,51312
Cilacap,Jawa Tengah,53265
Purbalingga,Jawa Tengah,53351
Rembang,Jawa Tengah,59252
Purworejo,Jawa Tengah,54265
Jepara,Jawa Tengah,59462
Blora,Jawa Tengah,58252
Banyumas,Jawa Tengah,53172
Malang,Jawa Timur,69485
Kediri,Jawa Timur,82121
Sidoarjo ,Jawa Timur,61258
Tulungagung,Jawa Timur,66253
Mojokerto,Jawa Timur,61382
Trenggalek,Jawa Timur,66318
Jember,Jawa Timur,68175
Blitar,Jawa Timur,66192
Madiun,Jawa Timur,63152
Ponorogo,Jawa Timur,63491
Nganjuk,Jawa Timur,64472
Ngawi,Jawa Timur,63263
Lamongan,Jawa Timur,62284
Bojonegoro,Jawa Timur,62183
Kota Batu,Jawa Timur,65236
Magetan,Jawa Timur,63362
Gresik,Jawa Timur,61152
Pasuruan,Jawa Timur,67186
Tuban,Jawa Timur,62362
Banyuwangi,Jawa Timur,68453
Probolinggo,Jawa Timur,67283
Situbondo,Jawa Timur,68372
Bondowoso,Jawa Timur,68271
Lumajang,Jawa Timur,67357
Bangkalan,Jawa Timur,69156
Pacitan,Jawa Timur,63581
Pamekasan,Jawa Timur,69362
Sampang,Jawa Timur,69216
Jombang,Jawa Timur,61485
Sumenep,Jawa Timur,69466
Batam,Kepulauan Riau,29349
